Product,Price,Rating
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
aaaaa,333,b
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Дыня,33,5
Морковка,3,55
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5
Печенье,3,5
Яблоки,4,2
Тыква,2,3
Груша,10,5